Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR5280505,2018-02-26 00:03:26,2017-02-23 12:56:34,31682892,6336578400,31682892,200,3796,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/280/SRR5280505.sralite.1,SRX2584197,TAME06,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100625,PRJNA376561,,376561,SRS1998024,SAMN06434862,simple,9627,Vulpes vulpes,TAME06,,,,,female,,no,,,,,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,SRA539946,,public,73156F7EE0571E7D15590B2088EB2A26,97A893865308208231140BB1943B5312
SRR5280504,2018-02-26 00:03:26,2017-02-23 12:55:27,38300017,7660003400,38300017,200,4679,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/280/SRR5280504.sralite.1,SRX2584196,TAME07,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100625,PRJNA376561,,376561,SRS1998022,SAMN06434863,simple,9627,Vulpes vulpes,TAME07,,,,,female,,no,,,,,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,SRA539946,,public,DF03EDAE047A886D712480FC51F4C9AD,D2A1C7FA0D5F1CB8E358DE8228C93DA4
SRR5280503,2018-02-26 00:03:26,2017-02-23 13:04:37,44488018,8897603600,44488018,200,5257,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/280/SRR5280503.sralite.1,SRX2584195,TAME08,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100625,PRJNA376561,,376561,SRS1998023,SAMN06434864,simple,9627,Vulpes vulpes,TAME08,,,,,female,,no,,,,,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,SRA539946,,public,0E2D1AB295AC4A7B603075B20826ECBD,08D18AFEE02CABE83AF999DD5628B585
SRR5280502,2018-02-26 00:03:26,2017-02-23 12:52:03,35890062,7178012400,35890062,200,4356,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/280/SRR5280502.sralite.1,SRX2584194,TAME09,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100625,PRJNA376561,,376561,SRS1998021,SAMN06434865,simple,9627,Vulpes vulpes,TAME09,,,,,male,,no,,,,,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,SRA539946,,public,B2F7669B9C00CFFDC41C7B37C0BD0BB0,2771EAE3F0BE1DEEA613DBD805F03064
SRR5280501,2018-02-26 00:03:26,2017-02-23 13:05:26,60364521,12072904200,60364521,200,7096,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/280/SRR5280501.sralite.1,SRX2584193,TAME10,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100625,PRJNA376561,,376561,SRS1998020,SAMN06434866,simple,9627,Vulpes vulpes,TAME10,,,,,male,,no,,,,,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,SRA539946,,public,D0D9F8A6165FC6407D90E43CE909D3F0,A059CCF67130C0626CB668DFEC3392BA
SRR5280510,2018-02-26 00:03:26,2017-02-23 12:59:21,32451702,6490340400,32451702,200,3867,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/280/SRR5280510.sralite.1,SRX2584202,TAME01,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100625,PRJNA376561,,376561,SRS1998029,SAMN06434857,simple,9627,Vulpes vulpes,TAME01,,,,,female,,no,,,,,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,SRA539946,,public,FB0CB0A6D6C5684222E2BB9225CE24F3,0208578D9262A13B3776395C1115D91B
SRR5280509,2018-02-26 00:03:26,2017-02-23 13:01:14,35520566,7104113200,35520566,200,4308,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/280/SRR5280509.sralite.1,SRX2584201,TAME02,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100625,PRJNA376561,,376561,SRS1998028,SAMN06434858,simple,9627,Vulpes vulpes,TAME02,,,,,male,,no,,,,,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,SRA539946,,public,C0FEC534DE5F9BBD53874E1D9F00667E,F73938B73767BCA50C781CCC137F7958
SRR5280508,2018-02-26 00:03:26,2017-02-23 12:57:15,33124583,6624916600,33124583,200,3998,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/280/SRR5280508.sralite.1,SRX2584200,TAME03,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100625,PRJNA376561,,376561,SRS1998027,SAMN06434859,simple,9627,Vulpes vulpes,TAME03,,,,,female,,no,,,,,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,SRA539946,,public,B038F4A2DFBBDD838F7C2715D356755E,3A05E2A49E935845C935F83F7864BFA4
SRR5280507,2018-02-26 00:03:26,2017-02-23 12:56:29,36423962,7284792400,36423962,200,4415,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/280/SRR5280507.sralite.1,SRX2584199,TAME04,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100625,PRJNA376561,,376561,SRS1998026,SAMN06434860,simple,9627,Vulpes vulpes,TAME04,,,,,male,,no,,,,,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,SRA539946,,public,CE71C2A28F6A5ED1A307CF37669A9D05,926DF494D68DDF4184422E19262875C4
SRR5280506,2018-02-26 00:03:26,2017-02-23 12:57:02,31296168,6259233600,31296168,200,3841,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/280/SRR5280506.sralite.1,SRX2584198,TAME05,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100625,PRJNA376561,,376561,SRS1998025,SAMN06434861,simple,9627,Vulpes vulpes,TAME05,,,,,male,,no,,,,,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,SRA539946,,public,5EF5099DAE1A59CF1F25AD76F82C7890,C748C84F020BA2109F1E1D1170C6628A
